Date,Time,Acc,Gyro
2025-02-07,14:31:03,"0.19, -0.10, 0.99","-0.49, -0.31, -0.18"
2025-02-07,14:31:04,"0.19, -0.10, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:31:04,"0.18, -0.10, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:31:05,"0.18, -0.10, 0.99","-0.31, -0.24, -0.18"
2025-02-07,14:31:05,"0.19, -0.10, 0.99","-0.43, -0.24, -0.24"
2025-02-07,14:31:06,"0.18, -0.10, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:31:06,"0.19, -0.10, 0.99","-0.49, -0.31, -0.18"
2025-02-07,14:31:07,"0.18, -0.10, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:31:07,"0.18, -0.10, 0.99","-0.55, -0.31, -0.18"
2025-02-07,14:31:08,"0.18, -0.10, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:31:08,"0.19, -0.10, 0.99","-0.49, -0.37, -0.18"
2025-02-07,14:31:09,"0.18, -0.10, 0.99","-0.24, -0.31, -0.18"
2025-02-07,14:31:09,"0.19, -0.10, 0.99","-0.24, -0.31, -0.24"
2025-02-07,14:31:10,"0.19, -0.10, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:31:10,"0.19, -0.10, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:31:11,"0.19, -0.10, 0.99","-0.49, -0.31, -0.18"
2025-02-07,14:31:11,"0.19, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:31:12,"0.19, -0.10, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:31:12,"0.18, -0.10, 0.99","-0.49, -0.31, -0.18"
2025-02-07,14:31:13,"0.19, -0.10, 0.99","-0.49, -0.31, -0.24"
2025-02-07,14:31:13,"0.19, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:31:14,"0.18, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:31:14,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:31:15,"0.19, -0.10, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:31:15,"0.19, -0.10, 0.99","-0.24, -0.31, -0.24"
2025-02-07,14:31:16,"0.19, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:31:16,"0.18, -0.10, 0.99","-0.55, -0.31, -0.18"
2025-02-07,14:31:17,"0.18, -0.10, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:31:17,"0.19, -0.10, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:31:18,"0.18, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:31:18,"0.19, -0.10, 0.99","-0.55, -0.31, -0.18"
2025-02-07,14:31:19,"0.18, -0.10, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:31:19,"0.18, -0.10, 0.99","-0.67, -0.31, -0.18"
2025-02-07,14:31:20,"0.19, -0.10, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:31:20,"0.19, -0.10, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:31:21,"0.18, -0.10, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:31:21,"0.18, -0.10, 0.99","-0.18, -0.24, -0.24"
2025-02-07,14:31:22,"0.19, -0.10, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:31:22,"0.19, -0.10, 0.99","-0.24, -0.24, -0.18"
2025-02-07,14:31:23,"0.18, -0.10, 0.99","-0.31, -0.24, -0.18"
2025-02-07,14:31:23,"0.19, -0.10, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:31:24,"0.19, -0.10, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:31:24,"0.19, -0.10, 0.99","-0.55, -0.31, -0.18"
2025-02-07,14:31:25,"0.19, -0.10, 0.99","-0.61, -0.37, -0.24"
2025-02-07,14:31:25,"0.19, -0.10, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:31:26,"0.19, -0.10, 0.99","-0.31, -0.31, -0.18"
